"MP Name","Constituency","State","House","Allocated Amount (₹)","Amount Recommended (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Balance Not Yet Paid to Vendors (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"ANDREW J. SYNGKON","SHILLONG","Meghalaya","Lok Sabha",98000000,98000000,71430000,100,98,241,40.66,26570000,327,321,6,"N/A"
"RAVINDRA DATTARAM WAIKAR","MUMBAI NORTH WEST","Maharashtra","Lok Sabha",147000000,147000000,53799122,100,0,67,0,93200878,24,20,4,"N/A"
"S SUPONGMEREN JAMIR","NAGALAND","Nagaland","Lok Sabha",147000000,147000000,138150000,100,38,56,67.86,8850000,81,81,0,"N/A"
"Smt. Sudha Murty (2024-30)","Nominated Rajya Sabha","Karnataka","Rajya Sabha",147000000,147000000,71000000,100,0,11,0,76000000,8,8,0,"N/A"
"Smt. Geeta alias Chandraprabha (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,196063956.35,169877016.35,100,210,247,85.02,26186940,313,313,0,"N/A"
"Mahesh Sharma","GAUTAM BUDDHA NAGAR","Uttar Pradesh","Lok Sabha",148816284.11,148811083.28,83408358,100,68,173,39.31,65402725.28,130,126,4,"N/A"
"ANOOP PRADHAN BALMIKI","HATHRAS","Uttar Pradesh","Lok Sabha",147000000,146944105,97915147,99.96,69,106,65.09,49028958,141,141,0,"N/A"
"Prof SP Singh Baghel","AGRA","Uttar Pradesh","Lok Sabha",147000000,146923438,93200157,99.95,55,110,50,53723281,140,140,0,"N/A"
"Shri Bhartruhari Mahtab","CUTTACK","Odisha","Lok Sabha",147000000,146922088,37017579,99.95,86,483,17.81,109904509,281,277,4,"N/A"
"NEERAJ MAURYA","AONLA","Uttar Pradesh","Lok Sabha",147000000,146910629,97488644,99.94,17,36,47.22,49421985,101,101,0,"N/A"
"Smt Veena Devi ","VAISHALI","Bihar","Lok Sabha",147000000,146860679,131108889,99.91,30,59,50.85,15751790,49,49,0,"N/A"
"DR. LATA WANKHEDE","SAGAR","Madhya Pradesh","Lok Sabha",147000000,146839715,100520853,99.89,103,236,43.64,46318862,276,272,4,"N/A"
"Shri Ramji Lal Suman (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,146806953,93005621,99.87,29,93,31.18,53801332,120,120,0,"N/A"
"BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","Maharashtra","Lok Sabha",147000000,146794506,61343128,99.86,11,164,6.71,85451378,75,70,5,"N/A"
"Ashok Kumar Rawat","MISRIKH","Uttar Pradesh","Lok Sabha",147000000,146776705,121139986,99.85,2,5,40,25636719,32,24,8,"N/A"
"SACHITHANANTHAM R","DINDIGUL","Tamil Nadu","Lok Sabha",147000000,146728339,91226196,99.82,50,134,37.31,55502143,87,85,2,"N/A"
"Smt. Seema Dwivedi (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",173830159.11,173445859.4,135441468.4,99.78,210,408,51.47,38004391,314,302,12,"N/A"
"Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",171500000,171094899,31616893,99.76,51,163,31.29,139478006,60,60,0,"N/A"
"Ramprit Mandal","JHANJHARPUR","Bihar","Lok Sabha",147000000,146608150,107510581,99.73,91,177,51.41,39097569,104,104,0,"N/A"
"JOYANTA BASUMATARY","KOKRAJHAR","Assam","Lok Sabha",147000000,146599810,63280971,99.73,20,129,15.5,83318839,82,79,3,"N/A"
"Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",196063957.11,195461585,130587101,99.69,126,208,60.58,64874484,166,166,0,"N/A"
"Rodmal Nagar ","RAJGARH","Madhya Pradesh","Lok Sabha",147000000,146544940,92107905,99.69,54,355,15.21,54437035,265,265,0,"N/A"
"Mukesh Rajput","FARRUKHABAD","Uttar Pradesh","Lok Sabha",147000000,146534526,108417412,99.68,246,306,80.39,38117114,367,367,0,"N/A"
"Dr. Faiyaz Ahmad (2022-28)","Sitting Rajya Sabha","Bihar","Rajya Sabha",235263957.11,234514150,183753433,99.68,138,206,66.99,50760717,174,174,0,"N/A"
"MURLIDHAR MOHOL","PUNE","Maharashtra","Lok Sabha",147000000,146496657,18945481,99.66,12,99,12.12,127551176,19,19,0,"N/A"
"JAI PARKASH","HISAR","Haryana","Lok Sabha",147000000,146353469,73212356,99.56,68,444,15.32,73141113,357,330,27,"N/A"
"Smt. Phulo Devi Netam (2026-32)","Sitting Rajya Sabha","Chhattisgarh","Rajya Sabha",49000000,48777604,12348157,99.55,0,81,0,36429447,20,16,4,"N/A"
"SUDHAKAR SINGH","BUXAR","Bihar","Lok Sabha",185211956.54,184189494,124124191,99.45,98,204,48.04,60065303,177,176,1,"N/A"
"Dr. Anil Sukhdeorao Bonde (2022-28)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",196063957.11,194938204,86399726,99.43,50,185,27.03,108538478,84,79,5,"N/A"
"Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",260812242.52,259234270,207877791,99.39,193,244,79.1,51356479,198,198,0,"N/A"
"Indra Hang Subba","SIKKIM","Sikkim","Lok Sabha",152003923.11,151079926,98023420,99.39,38,130,29.23,53056506,80,80,0,"N/A"
"Pradyut Bordoloi","NOWGONG","Assam","Lok Sabha",98000000,97394000,67857468,99.38,13,215,6.05,29536532,478,475,3,"N/A"
"Shri Mithlesh Kumar (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,194673928,170753928,99.29,195,203,96.06,23920000,232,232,0,"N/A"
"Sunil Kumar ","VALMIKI NAGAR","Bihar","Lok Sabha",147000000,145930069,63664429,99.27,79,258,30.62,82265640,87,87,0,"N/A"
"RAJA RAM SINGH","KARAKAT","Bihar","Lok Sabha",147000000,145887944,72478355,99.24,114,329,34.65,73409589,194,191,3,"N/A"
"Shri Arun Kumar Sagar ","SHAHJAHANPUR","Uttar Pradesh","Lok Sabha",147000000,145876200,138723000,99.24,4,7,57.14,7153200,45,45,0,"N/A"
"Shri Arun Singh (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",223492764.11,221643804,151462382,99.17,46,111,41.44,70181422,197,194,3,"N/A"
"DULU MAHATO","DHANBAD","Jharkhand","Lok Sabha",147000000,145710045,58175255,99.12,57,417,13.67,87534790,312,272,40,"N/A"
"MANOJ KUMAR","SASARAM","Bihar","Lok Sabha",147000000,145610852,95686097,99.06,82,194,42.27,49924755,122,121,1,"N/A"
"SK NURUL ISLAM","BASIRHAT","West Bengal","Lok Sabha",49000000,48510650,30740105,99,8,32,25,17770545,21,21,0,"N/A"
"Shri Surendra Singh Nagar (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",220563957.11,218335769,109500434.16,98.99,98,299,32.78,108835334.84,281,272,9,"N/A"
"Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",239763792.52,237177871,183132534,98.92,141,185,76.22,54045337,188,181,7,"N/A"
"Vinod Chavda","KACHCHH","Gujarat","Lok Sabha",147000000,145391050,51201603,98.91,98,363,27,94189447,127,119,8,"N/A"
"Priyanka Gandhi Vadra","WAYANAD","Kerala","Lok Sabha",122500000,121145751,34714501,98.89,11,96,11.46,86431250,39,39,0,"N/A"
